Taxon_family,Genus,Species,Taxon_name,Taxon_ID,Genus_species,G_species,RAB #,Museum,Specimen #,SVL_mm,Mass_g,HeadGirth_mm,BodyGirth_mm,Range_GV,Avg_GV,Std_Dev_GV,GV_CSF,SD_CSF,GV_tongue,CNR_head,Dice File Name,Skeletal File Name,Date Skeletal Scanned,Date Stained,Date Dice Scanned,Days Stained,Preservation_age
Aniliidae,Anilius,scytale,Ansc,Ansc1140,Anilius_scytale,A. scytale,RAB1140,UMMZ,248356,495,14.27,7.14,6.62,51668,36326.313,11940.984,,,,,ummz-herps-248356_Anilius-scytale_skulldice,ummz-herps-248356_Anilius-scytale_skull,11/12/2019,11/15/2019,11/19/2019,4,2.98
Colubrinae,Chironius,fuscus,Chfu,Chfu0381,Chironius_fuscus,C. fuscus,RAB0381,UMMZ,245047,708,90,10.77,10.11,,,,,,,,ummz-herps-245047_Chironius-fuscus_skulldice,ummz-herps-248047_Chironius-fuscus_skull,11/13/2019,2/20/2020,2/25/2020,5,3.93
Colubrinae,Pseustes,sulphureus,Pssu,Pssu0562,Pseustes_sulphureus,P. sulphureus,RAB0562,MUSM,37565,1840,1250,30.43,,628.774,79.954,22.93,,,,,MUSM-H-37565_Pseustes-sulphureus_dice_RAB-562,MUSM-H-37565_Pseustes-sulphureus_skull_RAB-562,20181003,20181109,20181121,12,2.09
Colubrinae,Lampropeltis,abnorma,Laab,Laab3060,Lampropeltis_abnorma,L. abnorma,RAB3060,UMMZ,247095,247,91.4,11.16,17.11,49235,36468.82,11658.496,,,,,ummz-herps-247095_Lampropeltis_abnorma_skulldice,ummz-herps-247095_Lampropeltis_abnorma,9/3/2019,9/12/2019,9/18/2019,6,1.32
Colubrinae,Leptophis,ahaetulla,Leah,Leah0932,Leptophis_ahaetulla,L. ahaetulla,RAB0932,MUSM,37345,565,27.66,9.12,,664.081,218.376,92.725,,,,,MUSM-H-37345_Leptophis-ahaetulla_dice_RAB-932,MUSM-H-37345_Leptophis-ahaetulla_skull_RAB-932,09/16/57153,10/7/57153,10-12-57153,5,1.95
Colubrinae,Tantilla,melanocephala,Tame,Tame0997,Tantilla_melanocephala,T. melanocephala,RAB0997,UMMZ,246845,255,7.39,5.51,,212.429,207.736,54.13,,,,,ummz-herps-246845_Tantilla-melanocephala_dice_RAB-997,ummz-herps-246845_Tantilla-melanocephala_skull_RAB-997,20181003,20181030,20181102,3,1.95
Dipsadinae,Helicops,angulatus,Hean,Hean1967,Helicops_angulatus,H. angulatus,RAB1967,UMMZ,246805,427,63,12.95,15.11,54364,31617.818,11981.937,,,,,ummz-herps-246805_Helicops-angulatus_skulldice,ummz-herps-246805_Helicops-angulatus,6/17/2019,20190627,20190705,5.5,2.45
Dipsadinae,Helicops,leopardinus,Hele,Hele1812,Helicops_leopardinus,H. leopardinus,RAB1812,UMMZ,246808,685,220,18.72,23.11,52148,32714.479,11727.658,,,,,ummz-herps-246808_Helicops-leopardinus_skulldice,ummz-herps-246808_Helicops-leopardinus_skull,11/13/2019,12/4/2019,12/13/2019,9,2.9
Dipsadinae,Leptodeira,septentrionalis,Lese,Lese3176,Leptodeira_septentrionalis,L. septentrionalis,RAB3176,UMMZ,247099,654,113.2,14.85,NA,54268,24188.744,6858.97,,,,,ummz-herps-247099_Leptodeira-septentrionalis_skulldice,ummz-herps-247099_Leptodeira-septentrionalis,8/30/2019,10/10/2019,10/16/2019,6,1.37
Dipsadinae,Oxyrhopus,melanogenys,Oxme,Oxme0938,Oxyrhopus_melanogenys,O. melanogenys,RAB0938,MUSM,37417,230,10.77,6.41,6.55,44621,37588.637,10535.174,,,,,MUSM-herps-37417_Oxyrhopus-melanogenys_skulldice,MUSM-herps-37417_Oxyrhopus-melanogenys,8/30/2019,9/5/2019,9/11/2019,6,3.47
